priority,fta_no,name,city,postal,phone,email,website,president,group_hint,ctq_search_url,ctq_dump_filename,req_search_url,req_dump_filename
1,108,Autobus Brunet inc. (Les),Saint-Jérôme,J5L 1T4,450-438-8363,pabrunet@autobusbrunet.com,http://www.autobusbrunet.com,Jean-Pierre Brunet,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,108.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Brunet+inc.+%28Les%29,108.html
2,1403,Autobus Couture et Cahill inc.,Grande-Rivière,G0C 1V0,418-385-3234,autobus.couture.cahill@outlook.com,http://www.autobuscouturecahill.com,Mervin Cahill,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1403.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Couture+et+Cahill+inc.,1403.html
3,335,Autobus Denpell inc.,Yamachiche,G0X 3L0,819-448-0817,marc-isa@autobusdenpell.com,http://www.autobusdenpell.com,Marc-André Blanchard,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,335.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Denpell+inc.,335.html
4,302,Autobus Désilets inc.,Saint-Wenceslas,G0Z 1J0,418-325-2948,martin@autobusdesilets.com,http://www.autobusdesilets.com,Martin Désilets,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,302.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+D%C3%A9silets+inc.,302.html
5,82,Autobus Francoeur inc.,Saint-Paul d'Industrie,J0K 3E0,450-754-1999,l.laliberte@autobusfrancoeur.com,http://www.autobusfrancoeur.com,Lyne Laliberté,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,82.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Francoeur+inc.,82.html
6,1523,Autobus Groupe Séguin inc.,Laval,H7P 0H4,450-622-8242,yseguin@autobusseguin.com,http://autobusseguin.com,Stéphane Boisvert,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1523.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Groupe+S%C3%A9guin+inc.,1523.html
7,1121,Autobus Idéal inc.,Montréal,H1E 1P4,514-323-2355,pdeschenes@autobusideal.ca,http://www.autobusideal.ca,Pierre Deschênes,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1121.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Id%C3%A9al+inc.,1121.html
8,1383,Autobus Intersco inc.,Sorel-Tracy,J3P 6A5,450-743-3134,transport@autobusintersco.ca,http://www.autobusintersco.ca,Christian Joyal,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1383.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Intersco+inc.,1383.html
9,350,Autobus Le Promeneur inc. (Les),Mont-Tremblant,J8E 1A1,819-425-3096,martin.forget@lepromeneur.com,http://www.lepromeneur.com,Michel Forget,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,350.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Le+Promeneur+inc.+%28Les%29,350.html
10,912,Autobus Le Stéphanois inc.,Saint-Étienne-des-Grès,G0X 2P0,819-376-3839,autobus3839@cgocable.ca,http://www.autobuslestephanois.com,René Paquette,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,912.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Le+St%C3%A9phanois+inc.,912.html
11,228,Autobus Les Sillons inc.,Cap-aux-Meules,G4T 2S1,418-986-3886,admin@autobuslessillons.com,http://www.autobuslessillons.com,Joël Cormier,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,228.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Les+Sillons+inc.,228.html
12,1303,Autobus Passion (9151-0727 Québec inc.),Jonquière,G7S 1T2,418-548-9977,autobuspassion2000@gmail.com,http://www.autobuspassion.ca,Robin Talbot,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1303.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Passion+%289151-0727+Qu%C3%A9bec+inc.%29,1303.html
13,9,Autobus Plante inc.,Amos,J9T 2Z9,819-732-5863,pplante@autobusplante.com,http://www.autobusplante.com,Philippe Plante,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,9.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Plante+inc.,9.html
14,5,Autobus Racine ltée,Lacolle,J0J 1J0,450-246-2555,marioracinecpa@gmail.com,http://www.racinefils.com,Mario Racine,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,5.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Racine+lt%C3%A9e,5.html
15,404,Autobus Virage inc.,Sainte-Ursule,J0K 3M0,819-692-0298,francois@autobusvirage.com,https://autobusvirage.com/,François Bergeron,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,404.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Virage+inc.,404.html
16,742,Autobus scolaires G & N inc.,Montréal,H3N 1E7,514-274-2224,schoolbus@qc.aibn.com,http://www.autobusscolairegn.ca,Nick Minitsos,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,742.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+scolaires+G+%26+N+inc.,742.html
